State,Sector,Indicator,Sub Indicator,Value
All India,Rural,Percentage of Persons Reported to Have Access to Piped Water into Dwelling or Yard/plot and Reported to Have Access to Improved Source of Drinking Water,Piped Water into Dwelling or Yard/plot,24.8
All India,Urban,Percentage of Persons Reported to Have Access to Piped Water into Dwelling or Yard/plot and Reported to Have Access to Improved Source of Drinking Water,Piped Water into Dwelling or Yard/plot,61.5
All India,All,Percentage of Persons Reported to Have Access to Piped Water into Dwelling or Yard/plot and Reported to Have Access to Improved Source of Drinking Water,Piped Water into Dwelling or Yard/plot,35.5
All India,Rural,Percentage of Persons Reported to Have Access to Piped Water into Dwelling or Yard/plot and Reported to Have Access to Improved Source of Drinking Water,Improved Source of Drinking Water,95
All India,Urban,Percentage of Persons Reported to Have Access to Piped Water into Dwelling or Yard/plot and Reported to Have Access to Improved Source of Drinking Water,Improved Source of Drinking Water,97.2
All India,All,Percentage of Persons Reported to Have Access to Piped Water into Dwelling or Yard/plot and Reported to Have Access to Improved Source of Drinking Water,Improved Source of Drinking Water,95.7
Andaman & Nicobar Islands,Rural,Percentage of Persons Reported to Have Access to Piped Water into Dwelling or Yard/plot and Reported to Have Access to Improved Source of Drinking Water,Piped Water into Dwelling or Yard/plot,69.4
Andaman & Nicobar Islands,Urban,Percentage of Persons Reported to Have Access to Piped Water into Dwelling or Yard/plot and Reported to Have Access to Improved Source of Drinking Water,Piped Water into Dwelling or Yard/plot,98.2
Andaman & Nicobar Islands,All,Percentage of Persons Reported to Have Access to Piped Water into Dwelling or Yard/plot and Reported to Have Access to Improved Source of Drinking Water,Piped Water into Dwelling or Yard/plot,80.6
Andaman & Nicobar Islands,Rural,Percentage of Persons Reported to Have Access to Piped Water into Dwelling or Yard/plot and Reported to Have Access to Improved Source of Drinking Water,Improved Source of Drinking Water,98.1
Andaman & Nicobar Islands,Urban,Percentage of Persons Reported to Have Access to Piped Water into Dwelling or Yard/plot and Reported to Have Access to Improved Source of Drinking Water,Improved Source of Drinking Water,99.7
Andaman & Nicobar Islands,All,Percentage of Persons Reported to Have Access to Piped Water into Dwelling or Yard/plot and Reported to Have Access to Improved Source of Drinking Water,Improved Source of Drinking Water,98.7
Andhra Pradesh,Rural,Percentage of Persons Reported to Have Access to Piped Water into Dwelling or Yard/plot and Reported to Have Access to Improved Source of Drinking Water,Piped Water into Dwelling or Yard/plot,23
