State,Sector,Indicator,Sub Indicator,Value
All India,Rural,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time and owned that house/flat as on date of survey,96.5
All India,Urban,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time and owned that house/flat as on date of survey,96.7
All India,All,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time and owned that house/flat as on date of survey,96.6
All India,Rural,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time,47.5
All India,Urban,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time,57.9
All India,All,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time,49.9
All India,Rural,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014,11.2
All India,Urban,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014,7.2
All India,All,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014,9.9
Andaman & Nicobar Islands,Rural,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time and owned that house/flat as on date of survey,97.7
Andaman & Nicobar Islands,Urban,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time and owned that house/flat as on date of survey,100
Andaman & Nicobar Islands,All,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time and owned that house/flat as on date of survey,98.6
Andaman & Nicobar Islands,Rural,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time,65.4
Andaman & Nicobar Islands,Urban,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time,56.9
Andaman & Nicobar Islands,All,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time,61.9
Andaman & Nicobar Islands,Rural,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014,9.6
Andaman & Nicobar Islands,Urban,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014,9.8
Andaman & Nicobar Islands,All,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014,9.7
Andhra Pradesh,Rural,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time and owned that house/flat as on date of survey,98.8
Andhra Pradesh,Urban,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time and owned that house/flat as on date of survey,99.5
Andhra Pradesh,All,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time and owned that house/flat as on date of survey,99
Andhra Pradesh,Rural,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time,67
Andhra Pradesh,Urban,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time,76.8
Andhra Pradesh,All,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time,69.5
Andhra Pradesh,Rural,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014,9.7
